area_type,availability,location,society,total_sqft,bath,balcony,price,size_n
Super built-up  Area,Not ready,Electronic City Phase II,coomee ,1056,2,1,39.07,2
Plot  Area,Ready To Move,Chikka Tirupathi,theanmp,2600,5,3,120,4
Built-up  Area,Ready To Move,Uttarahalli,independent,1440,2,3,62,3
Super built-up  Area,Ready To Move,Lingadheeranahalli,soiewre,1521,3,1,95,3
Super built-up  Area,Ready To Move,Kothanur,independent,1200,2,1,51,2
Super built-up  Area,Ready To Move,Whitefield,duenata,1170,2,1,38,2
Super built-up  Area,Not ready,Old Airport Road,jaades ,2732,4,2,204,4
Super built-up  Area,Ready To Move,Marathahalli,independent,1310,3,1,63.25,3
Plot  Area,Ready To Move,Gandhi Bazar,independent,1020,6,2,370,6
Super built-up  Area,Not ready,Whitefield,independent,1800,2,2,70,3
Plot  Area,Ready To Move,Whitefield,prrry m,2785,5,3,295,4
Super built-up  Area,Ready To Move,7th Phase JP Nagar,shncyes,1000,2,1,38,2
Built-up  Area,Ready To Move,Gottigere,independent,1100,2,2,40,2
Plot  Area,Ready To Move,Sarjapur,skityer,2250,3,2,148,3
Super built-up  Area,Ready To Move,Mysore Road,prntaen,1175,2,2,73.5,2
Super built-up  Area,Ready To Move,Bisuvanahalli,prityel,1180,3,2,48,3
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,grrvagr,1540,3,3,60,3
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,pebayle,2770,4,2,290,3
Super built-up  Area,Ready To Move,Manayata Tech Park,independent,1100,2,2,48,2
Built-up  Area,Ready To Move,Kengeri,independent,600,1,1,15,1
Super built-up  Area,Not ready,Binny Pete,she 2rk,1755,3,1,122,3
Plot  Area,Ready To Move,Thanisandra,soitya ,2800,5,2,380,4
Super built-up  Area,Ready To Move,Bellandur,independent,1767,3,1,103,3
Super built-up  Area,Not ready, Thanisandra,bhe 2ko,510,1,0,25.25,1
Super built-up  Area,Not ready,Mangammanapalya,independent,1250,3,2,56,3
Super built-up  Area,Ready To Move,Electronic City,itelaa ,660,1,1,23.1,2
Built-up  Area,Not ready,Whitefield,independent,1610,3,2,81,3
Super built-up  Area,Not ready,Ramagondanahalli,viistla,1151,2,2,48.77,2
Super built-up  Area,Ready To Move,Electronic City,kbityo ,1025,2,1,47,3
Super built-up  Area,Not ready,Yelahanka,ledorsa,2100,4,0,186,4
Super built-up  Area,Ready To Move,Bisuvanahalli,prityel,1075,2,1,35,3
Super built-up  Area,Ready To Move,Hebbal,mahosya,1760,2,2,123,3
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,grrvagr,1693,3,3,57.39,3
Built-up  Area,Ready To Move,Kasturi Nagar,kantsce,1925,3,2,125,3
Super built-up  Area,Not ready,Kanakpura Road,prarepa,700,2,1,36,2
Super built-up  Area,Ready To Move,Electronics City Phase 1,independent,1070,2,1,45.5,2
Super built-up  Area,Ready To Move,Kundalahalli,dieldli,1724,3,2,125,3
Super built-up  Area,Ready To Move,Chikkalasandra,independent,1290,2,2,56.12,3
Built-up  Area,Ready To Move,Uttarahalli,independent,1143,2,2,45,2
Built-up  Area,Ready To Move,Murugeshpalya,gentson,1296,2,2,81,2
Super built-up  Area,Not ready,Sarjapur  Road,soini t,1254,3,2,38,3
Super built-up  Area,Ready To Move,Ganga Nagar,ceove g,600,1,0,38,1
Plot  Area,Ready To Move,Yelahanka,independent,660,1,0,48,1
Plot  Area,Ready To Move,HSR Layout,independent,600,9,2,200,8
Super built-up  Area,Ready To Move,Doddathoguru,lancyre,970,2,0,33,2
Super built-up  Area,Not ready,Whitefield,goted u,1459,2,1,94.82,2
Plot  Area,Ready To Move,KR Puram,independent,800,1,1,130,2
Built-up  Area,Ready To Move,Himagiri Meadows,independent,869,2,1,36,2
Super built-up  Area,Ready To Move,Adarsh Nagar,bhncyis,1270,2,1,50,2
Super built-up  Area,Not ready,Bhoganhalli,rosha i,1670,3,1,99,3
Built-up  Area,Ready To Move,Whitefield,suent v,2010,3,2,91,3
Super built-up  Area,Ready To Move,Lakshminarayana Pura,rothava,1185,2,2,75,2
Super built-up  Area,Ready To Move,Yelahanka,ncowsar,1600,2,3,75,3
Super built-up  Area,Ready To Move,Begur Road,dhalsh ,1200,2,2,44,2
Built-up  Area,Not ready,Devanahalli,brereat,3010,2,2,192,4
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,pebayle,1500,2,2,185,2
Plot  Area,Ready To Move,Murugeshpalya,independent,1407,4,1,150,6
Super built-up  Area,Ready To Move,Govindaraja Nagar Ward,independent,840,2,2,45,2
Plot  Area,Ready To Move,Tharabanahalli,independent,4395,3,2,240,3
